Number,Topic,Count
[1],Sports-and-Fitness,98
[2],Garden-Pests-and-Weeds,90
[3],Cars-&-Other-Vehicles,88
[4],Hobbies-and-Crafts,87
[5],Health,85
[6],Home-and-Garden,85
[7],Education-&-Communication,81
[8],Personal-Care-and-Style,81
[9],Education-and-Communications,81
[10],Food-and-Entertaining,80
[11],Computers-and-Electronics,80
[12],Youth,79
[13],Games,79
[14],Love-and-Romance,77
[15],Personal-Development,76
[16],Pets-and-Animals,74
[17],Android,74
[18],Relationship-Issues,73
[19],Hair-Care,73
[20],Dating,71
[21],Family-Life,71
[22],Finance-and-Business,69
[23],Arts-and-Entertainment,69
[24],Relationships,69
[25],Cleaning-Metals,66
[26],Personal-Hygiene,65
[27],Holidays-and-Traditions,63
[28],Work-World,63
[29],Putty-Dough-and-Slime,59
[30],Crafts,58
[31],Philosophy-and-Religion,51
[32],Communication-Skills,51
[33],Drawing,49
[34],Driving-Basics,47
[35],Love,46
[36],Studying,45
[37],Fashion,44
[38],Curly-Hair,44
[39],Calculating-Volume-and-Area,42
[40],Mental-Health,42
[41],Travel,40
[42],Phone-Skills,39
[43],Handling-Rejection,38
[44],Job-Search,36
[45],Dogs,36
[46],Business-Writing,36
[47],Abdominal-Exercises,35
[48],Birthdays,34
[49],Movies,33
[50],Married-Life,32
[51],Astrology,32
[52],School-Stuff,31
[53],Motorcycles,31
[54],Checks-and-Checkbooks,29
[55],Artwork,29
[56],Weight-Loss-Goals,29
[57],Computers,28
[58],Books,28
[59],Men's-Health,28
[60],Using-PDF-Files,26
[61],Personal-Care,25
[62],Ant-and-Termite-Control,25
[63],House-Training-Cats,21
[64],Women's-Health,21
[65],Air-Travel,20
[66],Clogged-Pores-(Comedones),20
[67],Technology-Hacks,19
[68],Death-Funerals-and-Bereavement,17
[69],Turkey-Dishes,17
[70],Egg-Basics,16
[71],School-Leadership,16
[72],Guitar-Chords-and-Songs,15
[73],Cakes,14
[74],Positive-and-Reflective-Lifestyles,13
[75],Motivation-to-Exercise,13
[76],Reproductive-Health,12
[77],Singing,9
[78],Skin-Tone,6
[79],Better-Writing,5
[80],Meetings,4
[81],Official-Travel-Documentation,1
